0,1,2
129,blonde hair,brown eyes
130,black hair,brown eyes
131,blonde hair,brown eyes
132,pink hair,red eyes
133,blonde hair,red eyes
134,aqua eyes,aqua hair
135,black hair,blue eyes
136,black hair,blue eyes
137,blonde hair,blue eyes
138,blue hair,brown eyes
139,brown eyes,pink hair
140,purple hair,red eyes
141,blue eyes,pink hair
142,blue eyes,blue hair
143,blonde hair,blue eyes
144,blue hair,purple eyes
145,blue eyes,pink hair
146,blue eyes,pink hair
147,blonde hair,green eyes
148,blue eyes,purple hair
149,purple eyes,purple hair
150,blonde hair,blue eyes
151,brown hair,yellow eyes
152,blue eyes,pink hair
153,red eyes,white hair
154,brown eyes,brown hair
155,pink eyes,pink hair
156,green eyes,red hair
157,pink hair,red eyes
158,black eyes,blue hair
159,blonde hair,blue eyes
160,blue eyes,pink hair
161,blonde hair,blue eyes
162,purple hair,red eyes
163,blonde hair,green eyes
164,brown hair,green eyes
165,brown eyes,brown hair
166,pink hair,red eyes
167,blue eyes,brown hair
168,green eyes,pink hair
169,brown eyes,purple hair
170,brown eyes,pink hair
171,blonde hair,red eyes
172,blonde hair,blue eyes
173,blue eyes,brown hair
174,blue eyes,purple hair
175,blonde hair,green eyes
176,brown eyes,brown hair
177,purple eyes,purple hair
178,blue eyes,red hair
179,brown hair,red eyes
180,red eyes,white hair
181,blue hair,red eyes
182,blue eyes,pink hair
183,black hair,blue eyes
184,brown eyes,brown hair
185,blonde hair,blue eyes
186,pink hair,red eyes
187,black hair,red eyes
188,blonde hair,blue eyes
189,blue eyes,pink hair
190,pink eyes,pink hair
191,blue eyes,purple hair
192,aqua eyes,aqua hair
193,blonde hair,yellow eyes
194,black hair,green eyes
195,blonde hair,blue eyes
196,blonde hair,blue eyes
197,brown hair,red eyes
198,black hair,red eyes
199,blue eyes,pink hair
200,blonde hair,brown eyes
201,purple hair,red eyes
202,green eyes,green hair
203,red eyes,red hair
204,blonde hair,blue eyes
205,blue eyes,pink hair
206,blonde hair,red eyes
207,red eyes,red hair
208,black eyes,pink hair
209,green eyes,purple hair
210,brown eyes,purple hair
211,blonde hair,green eyes
212,blonde hair,green eyes
213,green eyes,purple hair
214,black eyes,blonde hair
215,blonde hair,blue eyes
216,blue hair,red eyes
217,black hair,brown eyes
218,brown eyes,brown hair
219,blue eyes,pink hair
220,blue eyes,green hair
221,blue hair,brown eyes
222,blue eyes,blue hair
223,purple hair,red eyes
224,green eyes,purple hair
225,blonde hair,blue eyes
226,black eyes,blonde hair
227,green eyes,purple hair
228,blue eyes,brown hair
229,pink hair,red eyes
230,blue eyes,purple hair
231,brown eyes,brown hair
232,purple eyes,purple hair
233,blonde hair,blue eyes
234,blue eyes,pink hair
235,blonde hair,green eyes
236,blue hair,green eyes
237,red eyes,red hair
238,aqua eyes,aqua hair
239,blue eyes,white hair
240,blue eyes,blue hair
241,pink hair,red eyes
242,blonde hair,green eyes
243,black eyes,blonde hair
244,blonde hair,blue eyes
245,green eyes,green hair
246,blonde hair,red eyes
247,blue hair,red eyes
248,blue eyes,red hair
249,blue eyes,white hair
250,blonde hair,red eyes
251,purple hair,red eyes
252,brown eyes,brown hair
253,brown eyes,brown hair
254,brown eyes,brown hair
255,blonde hair,blue eyes
256,black eyes,brown hair
257,red eyes,red hair
258,green eyes,purple hair
259,blonde hair,blue eyes
260,blue eyes,blue hair
261,black eyes,pink hair
262,purple hair,red eyes
263,blonde hair,blue eyes
264,black hair,red eyes
265,brown eyes,brown hair
266,purple eyes,purple hair
267,blonde hair,blue eyes
268,blue hair,red eyes
269,blonde hair,blue eyes
270,purple hair,red eyes
271,blue eyes,pink hair
272,blonde hair,blue eyes
273,blonde hair,blue eyes
274,blonde hair,blue eyes
275,blue eyes,pink hair
276,blue eyes,pink hair
277,blonde hair,green eyes
278,black eyes,black hair
279,brown eyes,pink hair
280,brown hair,red eyes
281,pink hair,red eyes
282,brown eyes,brown hair
283,blonde hair,blue eyes
284,brown eyes,brown hair
285,green eyes,green hair
286,blonde hair,blue eyes
287,red eyes,white hair
288,blonde hair,green eyes
289,black hair,red eyes
290,brown eyes,orange hair
291,aqua eyes,aqua hair
292,blue eyes,brown hair
293,black hair,brown eyes
294,blonde hair,blue eyes
295,blonde hair,red eyes
296,blue eyes,red hair
297,brown hair,red eyes
298,blonde hair,blue eyes
299,blonde hair,blue eyes
300,brown hair,green eyes
301,blue eyes,purple hair
302,pink hair,red eyes
303,blue eyes,brown hair
304,brown eyes,brown hair
305,blonde hair,blue eyes
306,red eyes,red hair
307,green eyes,pink hair
308,black eyes,brown hair
309,purple eyes,purple hair
310,blonde hair,blue eyes
311,blonde hair,blue eyes
312,pink hair,red eyes
313,blue eyes,red hair
314,green eyes,purple hair
315,blue eyes,brown hair
316,red eyes,red hair
317,brown hair,red eyes
318,blue eyes,pink hair
319,green eyes,pink hair
320,blonde hair,brown eyes
321,purple eyes,red hair
322,blue eyes,blue hair
323,purple eyes,purple hair
324,black hair,red eyes
325,pink hair,red eyes
326,black hair,blue eyes
327,blue eyes,pink hair
328,blonde hair,green eyes
329,pink hair,red eyes
330,pink eyes,pink hair
331,green eyes,green hair
332,brown eyes,purple hair
333,blue hair,red eyes
334,blue eyes,brown hair
335,blue eyes,pink hair
336,blonde hair,red eyes
337,brown hair,red eyes
338,blue hair,red eyes
339,brown eyes,red hair
340,green eyes,purple hair
341,black eyes,black hair
342,blonde hair,red eyes
343,blue eyes,blue hair
344,green eyes,purple hair
345,purple eyes,white hair
346,blonde hair,red eyes
347,black eyes,brown hair
348,blonde hair,blue eyes
349,brown hair,red eyes
350,brown eyes,brown hair
351,green eyes,pink hair
352,blonde hair,blue eyes
353,brown eyes,brown hair
354,red eyes,red hair
355,blue eyes,red hair
356,blonde hair,red eyes
357,pink hair,purple eyes
358,black hair,red eyes
359,green eyes,pink hair
360,white hair,yellow eyes
361,blue eyes,blue hair
362,blonde hair,yellow eyes
363,blue eyes,purple hair
364,green hair,red eyes
365,blue eyes,brown hair
366,purple eyes,purple hair
367,blonde hair,yellow eyes
368,brown hair,red eyes
369,black eyes,brown hair
370,black eyes,black hair
371,brown hair,green eyes
372,blonde hair,blue eyes
373,brown hair,red eyes
374,blonde hair,blue eyes
375,black eyes,black hair
376,blonde hair,blue eyes
377,blonde hair,blue eyes
378,blue eyes,green hair
379,green eyes,pink hair
380,blonde hair,blue eyes
381,blue eyes,pink hair
382,blue eyes,brown hair
383,green eyes,green hair
384,blonde hair,green eyes
385,green eyes,pink hair
386,brown eyes,brown hair
387,blue eyes,brown hair
388,blue hair,red eyes
389,green eyes,pink hair
390,blonde hair,red eyes
391,brown eyes,brown hair
392,blonde hair,purple eyes
393,blonde hair,red eyes
394,blue eyes,brown hair
395,brown hair,green eyes
396,blonde hair,blue eyes
397,red eyes,white hair
398,green eyes,purple hair
399,blonde hair,red eyes
400,brown hair,green eyes
401,blonde hair,green eyes
402,blonde hair,brown eyes
403,blue eyes,pink hair
404,blue eyes,red hair
405,brown hair,red eyes
406,green eyes,purple hair
407,blue eyes,pink hair
408,blonde hair,blue eyes
409,blonde hair,blue eyes
410,brown eyes,brown hair
411,pink eyes,pink hair
412,pink hair,red eyes
413,red eyes,red hair
414,black hair,red eyes
415,blonde hair,red eyes
416,brown eyes,brown hair
417,blonde hair,blue eyes
418,pink hair,red eyes
419,blonde hair,blue eyes
420,blue hair,green eyes
421,brown eyes,brown hair
422,brown eyes,red hair
423,blue hair,red eyes
424,blonde hair,red eyes
425,brown eyes,brown hair
426,red eyes,white hair
427,aqua hair,blue eyes
428,blonde hair,red eyes
429,purple hair,red eyes
430,black eyes,black hair
431,blue eyes,purple hair
432,blue eyes,brown hair
433,purple eyes,purple hair
434,blue eyes,purple hair
435,black eyes,black hair
436,blonde hair,green eyes
437,blue eyes,red hair
438,brown hair,red eyes
439,green eyes,green hair
440,green eyes,white hair
441,blonde hair,purple eyes
442,blue eyes,purple hair
443,brown eyes,brown hair
444,blue eyes,pink hair
445,blue eyes,pink hair
446,black eyes,black hair
447,blue eyes,pink hair
448,black hair,red eyes
449,black eyes,blue hair
450,purple hair,red eyes
451,red eyes,red hair
452,blonde hair,brown eyes
453,black eyes,blonde hair
454,blue eyes,purple hair
455,red eyes,red hair
456,aqua eyes,aqua hair
457,brown hair,red eyes
458,black eyes,purple hair
459,black eyes,brown hair
460,blue hair,purple eyes
461,red eyes,red hair
462,purple hair,yellow eyes
463,brown hair,green eyes
464,purple eyes,purple hair
465,blonde hair,blue eyes
466,blue eyes,blue hair
467,blonde hair,blue eyes
468,black hair,red eyes
469,black eyes,brown hair
470,brown hair,purple eyes
471,blue eyes,red hair
472,brown eyes,brown hair
473,black hair,blue eyes
474,blonde hair,red eyes
475,blonde hair,blue eyes
476,red eyes,white hair
477,green eyes,green hair
478,brown hair,green eyes
479,brown eyes,brown hair
480,blonde hair,blue eyes
481,blonde hair,blue eyes
482,black eyes,black hair
483,blonde hair,blue eyes
484,aqua eyes,aqua hair
485,blue eyes,pink hair
486,black eyes,brown hair
487,blonde hair,green eyes
488,purple hair,red eyes
489,pink hair,red eyes
490,purple hair,red eyes
491,blue eyes,purple hair
492,red eyes,red hair
493,blonde hair,red eyes
494,blue eyes,red hair
495,blonde hair,blue eyes
496,black eyes,black hair
497,green eyes,pink hair
498,green eyes,pink hair
499,pink eyes,pink hair
500,blue eyes,red hair
501,blonde hair,red eyes
502,blue eyes,pink hair
503,blonde hair,blue eyes
504,blonde hair,red eyes
505,brown eyes,brown hair
506,blue eyes,blue hair
507,blue hair,red eyes
508,black hair,brown eyes
509,pink hair,red eyes
510,purple eyes,purple hair
511,brown hair,red eyes
512,brown eyes,brown hair
513,blue hair,red eyes
514,aqua hair,blue eyes
515,pink hair,red eyes
516,black eyes,black hair
517,purple hair,red eyes
518,aqua eyes,aqua hair
519,blue eyes,blue hair
520,blonde hair,red eyes
521,blonde hair,blue eyes
522,black hair,red eyes
523,purple eyes,purple hair
524,purple eyes,purple hair
525,blue eyes,pink hair
526,black hair,red eyes
527,aqua hair,blue eyes
528,green eyes,green hair
529,blue eyes,purple hair
530,blonde hair,blue eyes
531,brown eyes,brown hair
532,black eyes,pink hair
533,blonde hair,blue eyes
534,blue hair,red eyes
535,brown hair,red eyes
536,blue eyes,purple hair
537,blue eyes,pink hair
538,red eyes,white hair
539,purple eyes,white hair
540,blonde hair,blue eyes
541,green eyes,purple hair
542,purple eyes,purple hair
543,green eyes,pink hair
544,blue eyes,blue hair
545,brown eyes,brown hair
546,blonde hair,red eyes
547,purple hair,red eyes
548,blue eyes,pink hair
549,green eyes,pink hair
550,black eyes,red hair
551,blonde hair,blue eyes
552,aqua eyes,aqua hair
553,blue eyes,brown hair
554,blue eyes,pink hair
555,blonde hair,blue eyes
556,blue eyes,pink hair
557,purple eyes,purple hair
558,brown eyes,brown hair
559,brown eyes,purple hair
560,pink hair,yellow eyes
561,red eyes,red hair
562,red eyes,white hair
563,blonde hair,blue eyes
564,blonde hair,red eyes
565,purple eyes,purple hair
566,black hair,red eyes
567,brown hair,green eyes
568,brown eyes,red hair
569,blue eyes,red hair
570,black hair,red eyes
571,brown eyes,brown hair
572,red eyes,white hair
573,blonde hair,brown eyes
574,green hair,red eyes
575,blonde hair,blue eyes
576,pink hair,red eyes
577,red eyes,white hair
578,blue eyes,brown hair
579,green eyes,green hair
580,green eyes,pink hair
581,pink hair,red eyes
582,black hair,red eyes
583,blue eyes,purple hair
584,brown hair,green eyes
585,blonde hair,red eyes
586,blue eyes,purple hair
587,pink hair,red eyes
588,brown hair,green eyes
589,blonde hair,blue eyes
590,blonde hair,green eyes
591,purple hair,red eyes
592,green eyes,pink hair
593,blonde hair,green eyes
594,blonde hair,red eyes
595,blue eyes,brown hair
596,blonde hair,blue eyes
597,blonde hair,blue eyes
598,blonde hair,green eyes
599,brown eyes,purple hair
600,brown eyes,purple hair
601,blue eyes,pink hair
602,pink hair,red eyes
603,blonde hair,blue eyes
604,blonde hair,green eyes
605,purple hair,red eyes
606,brown hair,red eyes
607,brown eyes,brown hair
608,purple eyes,purple hair
609,blonde hair,red eyes
610,pink hair,red eyes
611,blonde hair,blue eyes
612,brown eyes,brown hair
613,blonde hair,blue eyes
614,blonde hair,red eyes
615,brown eyes,brown hair
616,blue eyes,red hair
617,aqua eyes,aqua hair
618,red eyes,white hair
619,blonde hair,blue eyes
620,brown eyes,brown hair
621,brown eyes,brown hair
622,pink hair,red eyes
623,blonde hair,red eyes
624,pink hair,red eyes
625,black hair,red eyes
626,blonde hair,red eyes
627,blonde hair,blue eyes
628,blue eyes,white hair
629,blue eyes,purple hair
630,black hair,red eyes
631,blue eyes,red hair
632,blonde hair,blue eyes
633,black eyes,black hair
634,blue eyes,pink hair
635,blonde hair,blue eyes
636,black eyes,brown hair
637,blue eyes,red hair
638,blue eyes,red hair
639,green hair,red eyes
640,blonde hair,brown eyes
641,blue eyes,pink hair
642,black hair,blue eyes
643,aqua eyes,aqua hair
644,black hair,green eyes
645,blonde hair,red eyes
646,black hair,blue eyes
647,blonde hair,red eyes
648,blonde hair,blue eyes
649,aqua eyes,aqua hair
650,blue hair,brown eyes
651,pink hair,red eyes
652,aqua eyes,aqua hair
653,blonde hair,blue eyes
654,aqua hair,blue eyes
655,blue eyes,blue hair
656,brown hair,purple eyes
657,blonde hair,green eyes
658,purple eyes,purple hair
659,blonde hair,blue eyes
660,black eyes,brown hair
661,pink hair,red eyes
662,blonde hair,blue eyes
663,brown eyes,brown hair
664,red eyes,red hair
665,blue eyes,blue hair
666,blonde hair,green eyes
667,blonde hair,brown eyes
668,green eyes,green hair
669,purple hair,red eyes
670,purple hair,red eyes
671,blonde hair,blue eyes
672,red eyes,white hair
673,brown eyes,brown hair
674,blue hair,red eyes
675,green eyes,pink hair
676,aqua hair,blue eyes
677,blue eyes,purple hair
678,blonde hair,blue eyes
679,aqua hair,blue eyes
680,blue eyes,blue hair
681,green eyes,pink hair
682,blue eyes,red hair
683,black eyes,black hair
684,brown eyes,brown hair
685,blonde hair,green eyes
686,brown hair,purple eyes
687,blonde hair,blue eyes
688,black hair,red eyes
689,blonde hair,blue eyes
690,purple eyes,white hair
691,blue eyes,brown hair
692,blonde hair,brown eyes
693,red eyes,red hair
694,brown hair,red eyes
695,brown eyes,brown hair
696,blue eyes,brown hair
697,aqua hair,green eyes
698,blonde hair,red eyes
699,brown eyes,brown hair
700,brown eyes,red hair
701,pink hair,yellow eyes
702,blonde hair,yellow eyes
703,blonde hair,blue eyes
704,blonde hair,blue eyes
705,blonde hair,red eyes
706,blonde hair,blue eyes
707,blonde hair,blue eyes
708,blonde hair,red eyes
709,pink hair,red eyes
710,blonde hair,blue eyes
711,blonde hair,blue eyes
712,purple hair,red eyes
713,green eyes,green hair
714,black hair,red eyes
715,brown eyes,purple hair
716,blue eyes,pink hair
717,blonde hair,blue eyes
718,blue eyes,blue hair
719,brown eyes,brown hair
720,blonde hair,green eyes
721,blue eyes,blue hair
722,blonde hair,brown eyes
723,blonde hair,green eyes
724,blonde hair,green eyes
725,pink hair,red eyes
726,blonde hair,blue eyes
727,blue eyes,green hair
728,blonde hair,blue eyes
729,red eyes,red hair
730,blonde hair,blue eyes
731,blue eyes,pink hair
732,black hair,purple eyes
733,blonde hair,green eyes
734,brown hair,green eyes
735,blue eyes,brown hair
736,blonde hair,green eyes
737,brown eyes,brown hair
738,black eyes,blonde hair
739,pink hair,red eyes
740,blonde hair,red eyes
741,aqua hair,blue eyes
742,blonde hair,blue eyes
743,blonde hair,blue eyes
744,pink hair,purple eyes
745,brown eyes,purple hair
746,blonde hair,red eyes
747,brown eyes,brown hair
748,blue eyes,purple hair
749,aqua hair,blue eyes
750,blonde hair,blue eyes
751,aqua hair,green eyes
752,brown eyes,brown hair
753,blue eyes,brown hair
754,purple eyes,purple hair
755,black hair,brown eyes
756,blue eyes,purple hair
757,blue eyes,pink hair
758,blue eyes,blue hair
759,blonde hair,red eyes
760,pink hair,red eyes
761,brown eyes,red hair
762,blonde hair,blue eyes
763,black eyes,black hair
764,pink hair,red eyes
765,pink hair,red eyes
766,blonde hair,blue eyes
767,blue eyes,orange hair
768,black eyes,pink hair
769,brown eyes,brown hair
770,black hair,red eyes
771,blonde hair,red eyes
772,blonde hair,blue eyes
773,blonde hair,brown eyes
774,pink hair,red eyes
775,pink hair,red eyes
776,blue hair,green eyes
777,black hair,red eyes
778,blue hair,red eyes
779,blonde hair,green eyes
780,brown eyes,brown hair
781,red eyes,red hair
782,black eyes,red hair
783,purple eyes,purple hair
784,purple hair,red eyes
785,blue hair,green eyes
786,green eyes,green hair
787,blonde hair,blue eyes
788,green eyes,red hair
789,blonde hair,red eyes
790,green eyes,green hair
791,blue eyes,red hair
792,blonde hair,green eyes
793,pink hair,red eyes
794,green eyes,white hair
795,pink hair,red eyes
796,brown eyes,purple hair
797,brown eyes,brown hair
798,brown eyes,brown hair
799,green eyes,purple hair
800,pink hair,red eyes
801,blonde hair,blue eyes
802,blonde hair,red eyes
803,blue eyes,pink hair
804,blonde hair,red eyes
805,blue eyes,brown hair
806,green eyes,red hair
807,black eyes,brown hair
808,blue hair,red eyes
809,blue eyes,purple hair
810,purple eyes,purple hair
811,pink hair,purple eyes
812,purple eyes,purple hair
813,blue eyes,pink hair
814,blonde hair,blue eyes
815,blonde hair,green eyes
816,blue eyes,pink hair
817,black eyes,black hair
818,purple eyes,purple hair
819,green eyes,pink hair
820,purple hair,red eyes
821,blue eyes,red hair
822,blue eyes,blue hair
823,black hair,blue eyes
824,red eyes,white hair
825,blonde hair,blue eyes
826,green eyes,green hair
827,brown eyes,brown hair
828,blonde hair,blue eyes
829,green eyes,green hair
830,blonde hair,brown eyes
831,brown eyes,purple hair
832,black hair,red eyes
833,blue eyes,brown hair
834,blonde hair,green eyes
835,blue eyes,green hair
836,blonde hair,red eyes
837,brown hair,green eyes
838,green hair,red eyes
839,brown eyes,brown hair
840,blue eyes,brown hair
841,brown eyes,brown hair
842,brown hair,green eyes
843,black hair,brown eyes
844,black hair,red eyes
845,blonde hair,green eyes
846,blue eyes,blue hair
847,green hair,red eyes
848,pink hair,red eyes
849,black hair,red eyes
850,blonde hair,red eyes
851,blonde hair,blue eyes
852,blonde hair,green eyes
853,red eyes,white hair
854,black hair,blue eyes
855,brown hair,red eyes
856,blue eyes,blue hair
857,blonde hair,green eyes
858,purple hair,yellow eyes
859,purple eyes,purple hair
860,black hair,blue eyes
861,blonde hair,red eyes
862,purple hair,red eyes
863,black hair,red eyes
864,blonde hair,blue eyes
865,blonde hair,blue eyes
866,black hair,purple eyes
867,red eyes,white hair
868,green eyes,green hair
869,blonde hair,blue eyes
870,brown hair,purple eyes
871,brown eyes,brown hair
872,green hair,red eyes
873,green eyes,purple hair
874,black hair,red eyes
875,blue eyes,blue hair
876,black hair,red eyes
877,blonde hair,red eyes
878,blue hair,yellow eyes
879,blue eyes,purple hair
880,blonde hair,blue eyes
881,blonde hair,brown eyes
882,blue eyes,pink hair
883,black eyes,black hair
884,blonde hair,blue eyes
885,pink hair,red eyes
886,black hair,brown eyes
887,green hair,red eyes
888,blonde hair,yellow eyes
889,pink hair,red eyes
890,blue eyes,brown hair
891,blue eyes,pink hair
892,green hair,purple eyes
893,blue eyes,blue hair
894,brown hair,red eyes
895,blonde hair,blue eyes
896,brown eyes,pink hair
897,brown eyes,brown hair
898,blonde hair,green eyes
899,purple eyes,purple hair
900,blue hair,green eyes
901,blue eyes,blue hair
902,blue eyes,white hair
903,black hair,red eyes
904,black hair,red eyes
905,blonde hair,blue eyes
906,black hair,red eyes
907,blue hair,red eyes
908,purple hair,red eyes
909,blonde hair,blue eyes
910,brown hair,green eyes
911,blue eyes,purple hair
912,brown eyes,brown hair
913,aqua eyes,aqua hair
914,purple eyes,purple hair
915,black hair,brown eyes
916,aqua eyes,blue hair
917,red eyes,white hair
918,pink hair,purple eyes
919,blonde hair,blue eyes
920,black hair,purple eyes
921,green eyes,pink hair
922,blonde hair,red eyes
923,brown eyes,red hair
924,blue eyes,green hair
925,blonde hair,red eyes
926,blue eyes,pink hair
927,purple hair,red eyes
928,pink hair,red eyes
929,blonde hair,red eyes
930,green eyes,red hair
931,blue hair,red eyes
932,black hair,brown eyes
933,blonde hair,blue eyes
934,black hair,purple eyes
935,blue hair,red eyes
936,black eyes,brown hair
937,blue eyes,pink hair
938,blue eyes,green hair
939,blue hair,purple eyes
940,purple hair,red eyes
941,blonde hair,brown eyes
942,pink hair,purple eyes
943,blue eyes,pink hair
944,red eyes,white hair
945,purple hair,red eyes
946,brown eyes,brown hair
947,black hair,brown eyes
948,red eyes,red hair
949,blonde hair,blue eyes
950,blonde hair,blue eyes
951,blue eyes,brown hair
952,purple hair,red eyes
953,red eyes,white hair
954,blue eyes,purple hair
955,purple eyes,purple hair
956,blonde hair,red eyes
957,blonde hair,green eyes
958,blonde hair,blue eyes
959,brown eyes,brown hair
960,blonde hair,blue eyes
961,brown eyes,brown hair
962,red eyes,white hair
963,blue eyes,purple hair
964,blue eyes,pink hair
965,green eyes,red hair
966,blonde hair,blue eyes
967,black hair,red eyes
968,blue hair,purple eyes
969,blonde hair,blue eyes
970,blonde hair,blue eyes
971,aqua hair,green eyes
972,blue hair,red eyes
973,black hair,red eyes
974,blonde hair,blue eyes
975,aqua eyes,aqua hair
976,green eyes,purple hair
977,blue eyes,brown hair
978,blue eyes,blue hair
979,blue eyes,purple hair
980,blonde hair,red eyes
981,blue eyes,pink hair
982,blonde hair,green eyes
983,blue eyes,red hair
984,brown hair,red eyes
985,blonde hair,blue eyes
986,green eyes,pink hair
987,brown eyes,pink hair
988,black eyes,brown hair
989,black hair,red eyes
990,brown hair,green eyes
991,blue eyes,pink hair
992,black eyes,brown hair
993,brown hair,green eyes
994,blue eyes,green hair
995,blonde hair,blue eyes
996,black eyes,brown hair
997,pink hair,red eyes
998,red eyes,red hair
999,blue hair,purple eyes
1000,black hair,green eyes
1001,pink hair,purple eyes
1002,red eyes,white hair
1003,pink hair,red eyes
1004,blonde hair,red eyes
1005,brown eyes,brown hair
1006,black eyes,purple hair
1007,red eyes,red hair
1008,brown hair,red eyes
1009,brown eyes,pink hair
1010,blue eyes,red hair
1011,blue hair,purple eyes
1012,purple eyes,purple hair
1013,pink hair,purple eyes
1014,brown hair,red eyes
1015,blonde hair,red eyes
1016,blue eyes,pink hair
1017,blonde hair,purple eyes
1018,black hair,red eyes
1019,blonde hair,red eyes
1020,blonde hair,red eyes
1021,blonde hair,blue eyes
1022,blonde hair,blue eyes
1023,blonde hair,red eyes
1024,red eyes,white hair
1025,blonde hair,blue eyes
1026,blue eyes,white hair
1027,blonde hair,red eyes
1028,purple hair,red eyes
1029,blonde hair,blue eyes
1030,black hair,red eyes
1031,pink hair,purple eyes
1032,blonde hair,green eyes
1033,black hair,blue eyes
1034,black hair,brown eyes
1035,black hair,purple eyes
1036,blue hair,red eyes
1037,blue eyes,blue hair
1038,black hair,blue eyes
1039,blue eyes,pink hair
1040,brown eyes,brown hair
1041,pink hair,purple eyes
1042,red eyes,red hair
1043,brown eyes,purple hair
1044,blonde hair,red eyes
1045,green eyes,green hair
1046,blonde hair,blue eyes
1047,blue eyes,blue hair
1048,aqua hair,blue eyes
1049,purple hair,red eyes
1050,green eyes,orange hair
1051,blonde hair,green eyes
1052,blonde hair,green eyes
1053,red eyes,red hair
1054,blonde hair,blue eyes
1055,black eyes,blonde hair
1056,red eyes,red hair
1057,blue eyes,red hair
1058,aqua eyes,aqua hair
1059,pink eyes,pink hair
1060,black eyes,brown hair
1061,red eyes,white hair
1062,blonde hair,red eyes
1063,brown eyes,brown hair
1064,purple eyes,purple hair
1065,blue eyes,pink hair
1066,blonde hair,blue eyes
1067,brown eyes,brown hair
1068,pink hair,red eyes
1069,blonde hair,blue eyes
1070,green hair,red eyes
1071,brown eyes,brown hair
1072,brown eyes,brown hair
1073,blue eyes,blue hair
1074,blonde hair,red eyes
1075,blue eyes,pink hair
1076,brown eyes,brown hair
1077,pink eyes,pink hair
1078,blonde hair,red eyes
1079,blue eyes,red hair
1080,brown hair,green eyes
1081,pink hair,red eyes
1082,blonde hair,red eyes
1083,red eyes,white hair
1084,pink hair,red eyes
1085,blue eyes,pink hair
1086,blue hair,red eyes
1087,aqua eyes,aqua hair
1088,blonde hair,red eyes
1089,red eyes,red hair
1090,pink hair,purple eyes
1091,red eyes,white hair
1092,blonde hair,blue eyes
1093,pink hair,red eyes
1094,blue eyes,blue hair
1095,brown eyes,brown hair
1096,red eyes,red hair
1097,blue eyes,pink hair
